"ccode","year","revstate","fatality","hostlev"
"alb",1892,0,0,0
"alb",1893,0,0,0
"alb",1894,0,0,0
"alb",1895,0,0,0
"alb",1896,0,0,0
"alb",1897,0,0,0
"alb",1898,0,0,0
"alb",1899,0,0,0
"alb",1900,0,0,0
"alb",1901,0,0,0
"alb",1902,0,0,0
"alb",1903,0,0,0
"alb",1904,0,0,0
"alb",1905,0,0,0
"alb",1906,0,0,0
"alb",1907,0,0,0
"alb",1908,0,0,0
"alb",1909,0,0,0
"alb",1910,0,0,0
"alb",1911,0,0,0
"alb",1912,0,0,0
"alb",1913,0,0,0
"alb",1914,0,0,0
"alb",1915,0,0,0
"alb",1916,0,0,4
"alb",1917,0,0,4
"alb",1918,0,0,2.5
"alb",1919,0,0,0
"alb",1920,1,0,1
"alb",1921,0,0,0
"alb",1922,0,0,0
"alb",1923,0,0,0
"alb",1924,0,0,0
"alb",1925,0,0,0
"alb",1926,0,0,0
"alb",1927,0,0,0
"alb",1928,0,0,0
"alb",1929,0,0,0
"alb",1930,0,0,0
"alb",1931,0,0,0
"alb",1932,0,0,0
"alb",1933,0,0,0
"alb",1934,0,0,0
"alb",1935,0,0,0
"alb",1936,0,0,0
"alb",1937,0,0,0
"alb",1938,0,0,0
"alb",1939,0,0,0
"alb",1940,0,0,0
"alb",1941,0,0,0
"alb",1942,0,0,0
"alb",1943,0,0,0
"alb",1944,0,0,0
"alb",1945,0,0,0
"alb",1946,0,0,4
"alb",1947,0,0,0
"alb",1948,0,1,4
"alb",1949,0,1.5,4
"alb",1950,0,0,0
"alb",1951,0,0,0
"alb",1952,0,0,2.5
"alb",1953,0,0,0
"alb",1954,0,0,0
"alb",1955,1,0,4
"alb",1956,0,0,0
"alb",1957,0,0,0
"alb",1958,1,0,4
"alb",1959,0,0,0
"alb",1960,0,0,0
"alb",1961,0,0,0
"alb",1962,0,0,0
"alb",1963,0,0,0
"alb",1964,0,0,0
"alb",1965,0,0,0
"alb",1966,0,0,0
"alb",1967,0,0,0
"alb",1968,0,0,0
"alb",1969,0,0,0
"alb",1970,0,0,0
"alb",1971,0,0,0
"alb",1972,0,0,0
"alb",1973,0,0,0
"alb",1974,0,0,0
"alb",1975,0,0,0
"alb",1976,0,0,1
"alb",1977,0,0,0
"alb",1978,0,0,0
"alb",1979,0,0,0
"alb",1980,0,0,0
"alb",1981,0,0,0
"alb",1982,0,0,0
"alb",1983,0,0,0
"alb",1984,0,0,0
"alb",1985,0,0,0
"alb",1986,0,0,0
"alb",1987,0,0,0
"alb",1988,0,0,0
"alb",1989,0,0,0
"alb",1990,0,0,0
"alb",1991,0,0,0
