"country_name","country_code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"bosnia and herzegovina","bih",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4,56.04,34.6,35.13,31.12,27.56,25.49,24.86,20.58,18.17,30.32,36.37,42.21,40.94,43.56,43.75,47.14,46.38,44.87,38.62,34.89,33.17,37.1,35.62,31.01,31.59,32.75
"botswana","bwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.38,43.42,40.24,40.19,43.18,40.13,20.72,13.36,12.57,15.62,18.45,18.55,21.82,30.76,26.66,22.71,17.16,15.88,14.4,15.93,15.27,16.58,16.21,14.71,12.6,10.67,11.98,9.68,8.37,7.61,8.55,7.29,11.33,7.74,6.32,6.12,7.77,23.47,27.9,28.09,27.29,24.72,23.86,25.67,22.42,19.8,19.81,21.26,24.77,23.45,21.25,22.48,32.79
"brazil","bra",8.97,6.87,5.54,13.95,14.68,17.04,34.55,22.06,30.61,23.99,22.27,25.65,23.65,20.4,22.17,21.9,17.35,16.34,17.35,18.43,18.24,20.1,26.48,21.06,21.19,23.98,26.08,28.74,32.43,30.76,48.15,53.72,52.24,47.91,91.02,58.86,56.28,107.66,75.65,33.8,50,60.31,98.41,77.03,39.5,33.39,40.23,42.48,54.42,64.58,62.65,66.27,74.98,70.57,67.07,66.26,63.95,62.45,60.66,63.81,61.32,59.34,59.85,57.23,58.46,67.54,73.42,78.61,80.36,82.68,90.94,84.51,80.15,80.55,83.48
"brunei darussalam","brn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63,1.77,0.89,0.37,0.29,0.59,0.68,0.94,1.11,1.11,2.13,2.1,2.21,3.23,2.95,3,2.83,2.59,2.58,2.86,2.51,2.06,2.33,2.29
"bulgaria","bgr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,6.7,10.3,14.9,22,27,29.4,39.6,48,57.1,115.2,145.96,199.91,118.96,72.03,113.84,88.37,65.14,70.34,71.5,65.3,51.48,43.84,36.09,27.09,21.73,17.07,13.84,14.96,17.02,16.93,18.51,19.2,29.15,27.59,30.98,26.9,23.99,21.93,NA,23.3,22.03,22.34,23.55
"burkina faso","bfa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23,2.46,2.51,3.37,4.8,6.53,9.68,11.08,13.21,14.2,14.49,17.07,19.58,23.95,27.22,28.49,27.58,30.69,28.83,25.54,25.6,28.73,29.59,33.59,55.12,48.93,45.85,48.37,47.68,46.44,47.48,46.63,43.29,39.66,40.74,39.21,20.09,22.42,24.87,25.87,22.67,28.4,25.21,25.9,26.09,31.25,32.85,33.89,38.11,41.73,43.64,55.37,56.37,52.66,52.69
"burundi","bdi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68,6.34,7.25,8.98,10.39,9.51,8.47,6.93,7.55,7.83,7.28,8.86,10.29,12.41,17.34,22.19,19.21,22.69,27.19,37.01,44.29,47.69,54.81,74.87,81.84,83.45,84.04,84.35,93.46,111.97,119.63,117.12,139.4,122.8,138.87,140.65,136.43,127.39,159.09,171.97,172.74,136.98,130.25,129.61,102.52,25.69,46.91,42.71,41.43,37.86,37.97,39.93,46.12,46.9,52.97,60.05,65.9,66.47,68.28,47.22,43.18
"cabo verde","cpv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1,46.05,56.44,57.95,63.41,54.98,45.3,45.25,42.39,38.66,45.5,61.27,57.01,73.39,74.27,85.74,79.32,72.94,66.36,71.94,62.16,64.66,65.58,67.85,66.71,66.2,59.6,57.49,58.79,73.52,71.56,82.94,93.48,105.59,115.57,115.4,112.76,112,109.42,143.78,149.06,124.03,114.04,113.74
"cambodia","khm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cameroon","cmr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.67,13.81,12.57,12.74,12.5,14.64,18.28,25.96,27.86,28.64,26.92,24.24,24.11,24.13,21.69,23.73,24.42,24.93,26.21,34.7,40.97,43.46,53.71,53.47,90.26,106.49,94.22,NA,67.76,68.37,75.88,62.18,56.6,51.52,51.73,43.84,18.35,13.8,11.15,11.26,13.99,15.05,14.87,17.47,20.71,25.83,26.18,29.71,33.2,36.28,39.39,41.64,40.62,38.89,39.54
