"country_name","country_code","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"bosnia and herzegovina","bih",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.02,1.48,2.69,3.47,5.52,7.89,9.22,10.57,11.82,12.68,13.98,14.73,16,17.65,20.06,22.55,25.52,24.8,25.36,26.23,26.22,26.78,27.36,28.93,30.27,31.8,33.94,35.78,34.73,39.15,45.62,49.92,52.05
"botswana","bwa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,0.04,0.04,0.05,0.04,0.05,0.05,0.06,0.07,0.08,0.1,0.14,0.19,0.23,0.28,0.36,0.41,0.53,0.74,0.88,0.92,1.17,1.4,1.82,2.42,2.81,3.78,5.88,6.53,7.05,7.96,8.74,10.07,11.42,13.32,16.26,18.28,20.2,25.03,28.99,31.9,34.14,36.97,41.39,50.31,57.83,64.87,73.26,72.4,85.85,103.33,106.26,119.87,138.86,137.05,164.42,166.65,173.73,179.58,171.04,207.89,251.35,263.92,262.53
"brazil","bra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.06,0.63,13.8,349.38,705.99,854.76,952.09,1002.35,1087.71,1199.09,1315.76,1488.79,1717.95,1957.75,2170.58,2409.45,2720.26,3109.8,3333.04,3885.85,4376.38,4814.76,5331.62,5778.95,5995.79,6269.33,6585.48,7004.14,7389.13,7609.6,9012.14,10079.68,10943.34,11744.71
"brunei darussalam","brn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,0.63,0.66,0.76,0.77,0.85,0.94,1.19,1.65,4.06,4.3,5.46,6.56,6.85,9.46,16.38,14.32,14.17,12.61,12.53,12.03,8.11,9.23,8.41,9.07,10.1,10.28,10.19,10.22,10.38,11.48,11.5,11.84,10.14,11.09,11.46,11.12,11.59,12.66,14.74,17.58,20.2,20.45,22.6,17.3,18.69,23.3,23.8,22.64,21.66,17.78,15.75,16.75,18.3,18.37,16.56,18.82,23,20.27,20.66
"bulgaria","bgr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.2,0.29,0.43,0.76,1.28,2.19,19.03,26.46,25.04,28.12,30.99,34.07,36.64,41.2,47.02,53.61,63.49,72.85,73.18,74.89,81.13,82.64,82.25,84.15,89.57,95.35,102.68,109.78,119.91,121.09,139.6,168.36,185.23,202.86
"burkina faso","bfa",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.21,112.23,118.84,128.66,161.35,173.99,183.11,198.59,192.05,195.32,231.96,259.08,267.19,203.44,207.24,243.54,286.37,260.62,333.15,377.21,447.27,504.06,564.05,635.4,673.37,690.17,784.45,793.11,801.03,876.34,938.44,949.66,994.7,999.27,1018.96,1183.48,1335.83,1488.14,1606.77,1861.09,2086.19,2108.16,2336.62,2512.87,2749.16,2874.88,3240.72,3420.54,3649.93,4215.34,4444.6,5002.18,5692.82,6413.11,6640.13,6884.47,6995.31,7604.8,8186.77,8836.57,9428.06,10252.17,10944.54,12192,12845.78,14533.93
"burundi","bdi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.08,9.41,9.89,10.79,11.95,13.24,14.67,14.65,15.85,17.88,19.56,23.86,22.11,25.1,28.82,33.71,38.84,46.63,48.21,61.82,85.55,89.02,94.03,102.82,120.37,141.25,140.74,143.49,152.8,179.42,193.66,211.85,225.44,227.74,233.55,249.69,262.89,342.54,399.88,487.88,627.26,727.96,768.15,849.38,1007.49,1208.24,1309.9,1467.23,1911.14,2184.18,2501.05,2819.53,3365.81,3812.5,4185,4879.79,4897.1,5485.07,5414.49,5553.57,5916.43,6622.37,7978.22,10902.92,13673.17
"cabo verde","cpv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,1.18,1.13,0.96,1.07,1.2,1.37,1.57,1.72,1.87,2.03,2.26,2.44,2.73,2.83,3.31,3.66,3.87,4.64,5.24,6.29,9.1,8.66,10.29,12.42,15.05,16.99,19.14,23.17,25.86,28.89,31.64,32.59,34.63,36.83,43.83,50.48,56.75,63.58,71.17,81.02,97.51,101.62,108.04,112.09,123.69,127.65,132.98,147.63,148.25,151.96,162.27,165.14,168.55,169.55,173.91,184.4,195.29,205.99,221.73,176.87,191.27,241.58,263.82,277.77
"cambodia","khm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.21,58.38,30.45,41.47,35.39,35.63,35.2,34.72,34.18,33.88,33.88,34.31,33.1,41.58,72.14,68.46,182.84,125.36,240.89,296.2,736.2,1642,3083.67,6654.03,7092.69,8406.8,9207.98,10199.15,11728.16,13410.74,14237.33,16267.59,17631.31,20080.79,23629.09,28918.82,34264.32,41080.52,49356.66,51753.68,57788.15,65068.4,71894.42,79768.29,88992.41,98334.48,107784.91,118907.47,134279.54,148984.7,142502.83,150792.68,164059.09,177718.89,193714.48
"cameroon","cmr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.58,165.91,176.87,217.57,239.13,249.5,261.17,293.5,308.46,338.08,385.99,368.52,466.35,522.32,639.57,763.62,855.54,1036.95,1241.61,1490.64,1851.52,2358.6,2852.7,3437.27,4194.78,5040.15,5391.1,5149.17,4784.95,4612.31,4401.97,4385.42,4195.11,4142.59,4619.97,5225.06,5634.02,6142.68,6688.53,7118.46,7504.47,8022.31,8614.01,9261.14,9927.78,10286.73,10924.19,11452.87,12360.95,13136.69,13610.55,14434.77,15395.86,16658.55,17966.12,19043.07,20038.57,20960.87,22203.33,23243.66,23486.47,24960.5,27662.02,29889.03,31998.27
