"country","ccode","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"iceland","isl",NA,NA,NA,NA,NA,NA,NA,NA,0.285749465227127,0.281817317008972,0.287375748157501,0.289856642484665,0.294044315814972,0.280981034040451,0.291851758956909,0.276714861392975,0.291412115097046,0.289334535598755,0.206801027059555,0.236074000597,0.252148985862732,0.244659930467606,0.263624340295792,0.276963353157043,0.283655017614365,0.287001878023148,0.264165192842484,0.312737971544266,0.304424941539764,0.302416056394577,0.289551287889481
"indonesia","idn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383442550897598,0.389044940471649,0.354698121547699,0.378098398447037,0.392120093107224
"iran, islamic republic of","irn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0737375840544701,0.063884325325489,0.0647894889116287,0.0608108341693878,0.04991090670228,0.0499319657683373,0.0699839666485786,0.0642402470111847,0.068473793566227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"israel","isr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124713771045208,0.120814323425293,0.11296834051609,0.124167770147324,0.118364542722702,0.116245649755001,0.115778975188732,0.118435487151146,0.119142062962055,0.115226902067661,0.118800722062588,0.120464913547039,0.1230154260993,0.125327885150909,0.125963881611824,0.127239271998405,0.128487452864647,0.133875623345375,0.137847781181335,0.135350167751312,0.119102746248245
"japan","jpn",NA,NA,NA,NA,0.470906972885132,0.467586308717728,0.460715770721436,0.457471042871475,0.395648866891861,0.437385022640228,0.41261950135231,0.412458151578903,0.403931140899658,0.394537270069122,0.388387560844421,0.376490980386734,0.372177213430405,0.366717100143433,0.353648245334625,0.356443524360657,0.351758420467377,0.349272638559341,0.34735494852066,0.346975117921829,0.352508038282394,0.349220931529999,0.351442664861679,0.348601132631302,0.346722602844238,0.34770867228508,0.367721349000931
"kazakhstan, republic of","kaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444729268550873,0.417188853025436,0.420500695705414,0.403121292591095,0.421933084726334,NA,NA,NA,NA,NA,0.457583099603653,0.441929668188095,0.444437712430954,0.441094756126404,0.440721422433853,0.413441807031631,0.418512433767319,0.342772573232651,0.37468609213829,0.391795575618744,0.419814765453339
"kenya","ken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103024668991566,0.13292084634304,0.150361582636833,0.122086815536022,0.12958174943924,0.16431388258934,0.211949914693832
"kiribati","kir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0321154445409775,0.0333041809499264,0.0353410691022873,0.0340086035430431,0.028697157278657,0.0262379050254822,0.0279327742755413,0.0230649374425411,0.0178745482116938,0.0202679634094238
"korea, republic of","kor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.410643190145493,0.552535772323608,0.567479014396667,0.551634192466736,0.51559978723526,0.428193867206573,0.45020455121994,0.452041983604431,0.453711628913879,0.448492109775543,0.461350440979004,0.441510200500488,0.453269332647324,0.467614948749542
"kyrgyz republic","kgz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102840907871723,0.101340591907501,0.0997778698801994,0.10182299464941,0.106728814542294,0.108084499835968,NA
"latvia, republic of","lva",NA,NA,NA,NA,NA,0.189282923936844,0.223881080746651,0.2464350014925,0.245356336236,0.245916053652763,0.25507640838623,0.27449443936348,0.283798575401306,0.273570895195007,0.286777913570404,0.27668684720993,0.284972369670868,0.312651008367538,0.323856323957443,0.296438723802567,0.275620460510254,0.277612417936325,0.276397436857224,0.282336473464966,0.274290889501572,0.256649494171143,0.269192337989807,0.28279909491539,0.285723239183426,0.282091975212097,0.259438961744308
"marshall islands, republic of the","mhl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000516045314725488,0.00835744198411703,0.00167713221162558,0.00167696794960648,0.0010729517089203,0.00416225660592318,0.00884720031172037,0.00774686923250556,0.0129505703225732,0.0179744139313698,0.0174024198204279,NA,NA
"mauritius","mus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0430950373411179,0.0591913685202599,0.0684414431452751,0.0707616731524467,0.0628037005662918,0.0596569329500198,0.0584805905818939,0.0608000382781029,0.0617344155907631,0.0601779110729694,0.0561890378594399,0.0609132051467896,0.0578923635184765,0.0608896128833294,0.0657016858458519,0.0604218132793903,0.0598710104823112,0.0682348683476448,0.0530903041362762
"mexico","mex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.377569496631622,0.403892755508423,0.403907120227814,0.389508426189423,0.385005205869675,0.408111393451691,0.410686016082764,0.427843898534775,0.431660622358322,0.430139541625977,0.424699753522873,0.423305958509445,0.386437475681305
"moldova, republic of","mda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.317428559064865,0.256471216678619,0.266749978065491,0.274173349142075,0.247770383954048,0.245358809828758,0.237267598509789,0.256477892398834,0.25266769528389,0.250292629003525,0.238139361143112,0.25375559926033,0.246823713183403,0.233243778347969,0.243235811591148,0.243623033165932,0.256367653608322,0.244449973106384
"mongolia","mng",NA,NA,0.427548676729202,0.382398188114166,0.353535711765289,0.3736192882061,0.392399460077286,0.400726228952408,0.402039349079132,0.351588010787964,0.352681696414948,0.360487371683121,0.337898790836334,0.0552748180925846,NA,NA,0.0623224303126335,0.0730331689119339,0.0643200874328613,0.065765880048275,0.0721686258912086,0.077713780105114,0.0946355015039444,0.28787699341774,0.274491965770721,0.273545682430267,0.241465404629707,0.247641026973724,0.264565080404282,0.238403514027596,0.222177430987358
"myanmar","mmr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0863752290606499,0.088057242333889,0.153994768857956,0.124559707939625,0.136094525456429,0.12693789601326,0.135451719164848,0.132071688771248,NA
"namibia","nam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0938789173960686,0.0889127552509308,0.260576188564301,NA,NA
"nepal","npl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353340834379196,0.421136081218719
"netherlands, the","nld",NA,NA,NA,NA,NA,0.395798772573471,0.325158923864365,0.318596184253693,0.322087556123734,0.327708452939987,0.335231512784958,0.329643934965134,0.337183177471161,0.345619082450867,0.341297119855881,0.342542499303818,0.323671132326126,0.331520736217499,0.332203567028046,0.333135157823563,0.326180994510651,0.318952649831772,0.311557859182358,0.294684261083603,0.293402105569839,0.311719805002213,0.312112867832184,0.312341272830963,0.310411602258682,0.308613449335098,0.291257321834564
"new zealand","nzl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11473536491394,0.114048555493355,0.0963860601186752,0.109482139348984,0.117795437574387,0.110121503472328,0.113581389188766,0.112169571220875,0.113632157444954,0.114042483270168,0.111905798316002,0.102472022175789
"north macedonia, republic of","mkd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0650471821427345,0.0775520876049995,NA,NA,NA,NA,NA,0.16371300816536,0.156187191605568,0.151211798191071,0.155495822429657,0.149582922458649,0.149055376648903,0.151653856039047,0.136184886097908
"norway","nor",NA,NA,NA,NA,NA,0.355511158704758,0.356754809617996,0.367006868124008,0.369336247444153,0.376855134963989,0.371563285589218,0.386277109384537,0.310918480157852,0.309464037418365,0.305021107196808,0.30156996846199,0.302545130252838,0.315530836582184,0.32457223534584,0.329913318157196,0.337349623441696,0.339144617319107,0.340445160865784,0.342953681945801,0.339095383882523,0.334598988294601,0.337862342596054,0.340284764766693,0.344165116548538,0.346541523933411,0.324360609054565
"palau, republic of","plw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042599443346262,0.0870278924703598,0.077828586101532,0.0833186656236649,0.085487000644207,0.0999980717897415,0.10244345664978,0.122672624886036,0.116828568279743,0.113899946212769,0.105219408869743,0.102051392197609,NA
