"country_name","country_code","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"switzerland","che",19719.765,17988.992,18320.902,18150.818,17272.919,17459.127,24912.878,31009.68,33287.007,31918.129,40436.747,40413.194,41493.629,39998.566,43896.033,51041.121,48922.368,42208.934,43233.679,42350.274,39416.937,40334.67,43290.345,50122.321,55501.929,57238.65,60128.668,66499.503,75664.809,73143.933,78278.897,92386.106,87772.787,89462.195,91054.666,85683.483,83889.957,83954.213,87366.692,86231.738,87797.149,96895.469,98220.06,105353.239,108255.92,115620.125,126176.833,130035.195,134679.474,138845.592,144018.423,148483.234
"chile","chl",2598.159,3025.972,2219.964,1774.676,1698.949,1434.434,1515.068,1756.21,2035.335,2305.635,2521.569,2849.743,3383.78,3563.323,4048.671,5142.153,5376.778,5788.713,5465.792,4978.07,5092.521,4601.085,4472.867,4817.24,6176.397,7551.076,9405.301,10447.793,10769.752,10192.185,12748.117,14602.219,15371.433,15787.358,14614.282,13506.926,13704.911,14970.174,15752.408,14602.92,13207.85,16265.341,15385.381,16988.274,16589.838,17734.761,20239.757,21431.649,22368.322,23290.432,24244.375,25263.894
"china, people's republic of","chn",307.533,289.007,280.5,297.077,301.687,293.534,280.42,300.37,368.709,407.249,347.545,359.122,422.899,524.75,472.576,609.22,709.842,782.918,829.999,875.39,962.851,1058.863,1157.332,1300.759,1522.439,1779.327,2129.192,2734.911,3505.657,3878.98,4578.143,5654.172,6387.88,7158.485,7775.35,8173.185,8225.121,8939.406,10038.3,10349.377,10700.359,12872.366,12989.394,13029.245,13452.66,13968.065,14873.569,15677.967,16671.437,17725.491,18775.478,19883.249
"côte d'ivoire","civ",1764.741,1429.982,1235.211,1060.684,1028.742,1010.216,1301.055,1377.855,1379.623,1268.839,1348.805,1260.371,1288.913,1161.76,848.957,1091.591,1171.414,1092.136,1134.494,1082.768,913.448,925.966,996.887,1198.538,1259.645,1262.108,1279.071,1421.758,1650.425,1607.992,1597.512,1602.649,1623.908,1843.024,2026.153,1846.22,1896.474,2000.09,2167.041,2173.778,2209.109,2478.224,2351.187,2598.335,2724.327,3005.85,3313.286,3484.558,3673.546,3895.789,4125.942,4357.416
"cameroon","cmr",1045.363,1150.798,1073.469,1053.149,1083.946,1102.672,1398.748,1575.275,1554.138,1344.964,1305.732,1412.421,1256.23,1272.297,840.622,775.613,840.8,826.993,803.446,796.413,687.01,715.217,786.533,986.635,1131.972,1144.049,1191.518,1325.829,1491.979,1459.803,1399.729,1513.694,1450.016,1575.952,1649.868,1415.143,1441.322,1495.562,1612.164,1555.419,1557.854,1673.205,1608.326,1720.729,1830.405,1984.036,2125.437,2183.179,2293.645,2406.684,2537.891,2666.978
"congo, democratic republic of the","cod",2730.694,2301.277,2422.242,1891.283,1221.72,1080.898,1174.016,1075.998,1206.847,1188.851,1192.38,1120.914,973.197,1222.443,639.608,601.803,750.736,642.729,461.123,410.453,397.025,146.542,171.076,171.505,189.173,226.776,265.901,310.819,366.699,291.745,338.802,387.825,427.848,481.137,512.244,519.68,477.259,454.993,548.17,532.857,514.152,630.058,727.498,698.801,743.542,871.246,1121.671,1166.804,1213.426,1259.388,1308.05,1357.992
"congo, republic of","cog",1268.332,1008.636,853.044,752.384,671.076,667.569,885.759,1043.902,1077.321,1071.039,1219.584,1237.554,1301.275,1157.837,774.866,896.009,1008.344,893.112,762.522,877.222,1156.361,933.558,999.604,1128.049,1439.638,1811.59,2116.981,2220.174,2848.341,2281.47,2965.182,3414.461,3756.238,3719.705,3623.464,2348.056,2106.937,2226.946,2716.492,2509.047,2014.193,2293.987,2339.437,2308.52,2341.632,2403.901,2553.869,2619.859,2713.273,2816.987,2916.942,3032.507
"colombia","col",1682.422,1792.979,1878.855,1827.9,1767.888,1623.653,1592.843,1624.05,1714.905,1694.086,1691.101,1712.342,1986.537,2209.196,2726.809,3035.304,3137.059,3399.32,3090.894,2673.657,2535.469,2461.321,2424.342,2313.528,2827.165,3493.965,3836.683,4834.374,5622.1,5330.75,6498.64,7518.387,8237.227,8409.677,8312.058,6337.016,6037.155,6577.315,6923.711,6540.105,5363.203,6231.291,6687.547,7026.609,7979.809,8622.574,10103.714,10321.373,10707.822,11137.187,11594.972,12076.063
"comoros, union of the","com",722.292,616.729,571.463,541.823,517.146,510.964,668.645,789.369,824.423,783.311,931.447,905.748,963.711,923.237,664.841,811.987,793.967,718.393,705.347,707.442,632.79,680.521,763.902,958.891,1070.966,1106.386,1138.719,1289.946,1454.493,1407.577,1385.195,1526.567,1484.891,1596.013,1609.102,1323.072,1356.892,1414.088,1518.8,1501.981,1510.592,1549.471,1438.545,1527.009,1620.834,1769.382,1950.98,2032.124,2110.354,2192.277,2288.324,2382.352
"cabo verde","cpv",569.223,668.809,522.032,494.441,493.568,542.224,685.354,836.444,997.269,1006.712,1224.464,1284.552,1356.281,1190.076,1247.034,1540.817,1611.23,1568.812,1631.763,1709.177,1689.524,1875.159,2015.386,2524.325,2839.287,3090.988,3174.469,3565.274,4189.744,3918.604,3818.598,4259.084,3958.495,4174.748,4178.127,3560.703,3748.574,4029.572,4431.844,4504.665,3646.827,4072.362,4445.47,4912.817,5328.899,5994.792,6670.317,7114.392,7580.302,8090.393,8635.949,9217.477
"costa rica","cri",2108.75,1111.35,1071.935,1257.355,1421.164,1478.366,1611.323,1612.564,1598.038,1763.481,1880.75,2305.412,2684.089,2926.912,3110.155,3336.709,3277.614,3450.907,3653.154,3715.408,3941.14,4041.943,4122.829,4227.819,4483.59,4756.337,5309.271,6194.045,6993.896,6879.266,8268.859,9270.571,10107.452,10764.529,10853.638,11635.197,11986.918,12185.259,12458.314,12757.29,12244.047,12660.545,13575.942,16582.493,18164.96,19161.968,20299.194,21277.684,22287.974,23321.504,24413.027,25604.072
"cyprus","cyp",4549.59,4352.502,4452.666,4399.223,4575.652,4824.674,6057.903,7188.216,8204.3,8635.765,10359.998,10413.726,12158.597,11342.407,12525.318,15396.919,15260.553,14323.919,15181.97,15379.835,14464.816,14905.024,16188.394,20389.337,23969.818,25527.08,27448.397,31774.426,36009.371,32650.09,31522.055,32910.616,29075.418,27768.464,27012.831,23129.577,24359.103,26369.719,29325.824,29431.466,28295.9,33234.868,33602.955,36967.748,38932.645,41730.246,45408.768,47090.759,49394.867,51895.649,54475.199,57180.286
"czech republic","cze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5861.187,6569.378,6065.51,6521.063,6374.041,6048.872,6659.088,8096.686,9857.191,11784.605,13458.775,15281.951,18513.803,22895.716,19863.767,20184.18,22068.782,20024.209,20256.925,20063.059,17944.844,18731.83,20882.415,23661.699,24013.061,23464.296,27667.664,27876.28,31800.883,31739.612,35678.377,39795.187,41625.666,43470.104,45305.454,47195.685,49158.33
"germany","deu",11150.445,9363.773,9048.007,9058.272,8569.045,8710.65,12432.393,15467.993,16575.159,16291.592,20323.326,23538.989,26660.209,25697.119,27359.629,31918.986,30778.888,27254.29,27635.979,27216.943,24158.215,24122.365,25752.683,31074.429,35000.452,35592.346,37530.238,43021.701,47146.711,43173.674,43220.097,47621.991,44768.64,47282.485,49108.051,42109.327,43189.577,45881.456,49384.527,48177.607,47953.683,53151.541,50943.628,54793.074,56086.903,60438.79,65302.893,67613.107,69804.854,72087.756,74263.697,76425.902
