"country_name","country_code","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"austria","aut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8312969808429,46.5389791476168,46.8261527565326,47.8563358094821,49.2722056262797,54.3066745663793,54.3157782864878,56.1284463267894,55.9352854630253,52.539254984724,54.3506682384703,50.4996183488046,50.9402665074753,51.8153303068331,51.6118369756882,51.7624135840008,54.3161539142693,51.6724455627984,50.9202297114768,49.7196750484217,50.4042882860904,54.5973247317868,53.3571432943854,51.3406525226087,51.7534699519314,52.427568956483,52.3959342456259,51.2155657902237,50.6396877742217,49.8210021429647,49.1928956236161,49.0739608214971,57.3128427560207,56.0264282804263,52.9651597237274,52.2085546254856,55.1861765375566,55.1834311155237,55.1662864799326,55.3095108545119,55.3815013707702,55.2268592074536,55.177236720398,55.195123224471
"azerbaijan, republic of","aze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6628048931024,18.9118005436311,19.8391885807106,18.5237107587901,18.7214975283362,19.504770687083,18.239706564083,16.7848117562916,23.138784066899,21.6620518074467,24.2158514723888,22.4979584514275,25.2990802969056,26.0677266705262,31.4390177364146,34.506352599752,31.9580403893046,33.7346195538518,36.6364366441689,37.7793416257564,36.3741925184293,38.6991373576462,35.4250205800409,35.571451728956,33.1829190371524,32.520031319007,40.1565627758295,32.167671787738,26.1766737337605,32.7268120108765,33.8592933209615,34.5886718205339,37.0014905910546,36.4250102791022,35.6073973569124,34.7980167491505,34.2658296122659,33.7255074175004
"burundi","bdi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4108463147752,19.2146899138168,26.1119988883763,24.0236565588282,19.3755547425129,22.1183999006028,24.4434227050539,18.7783821337743,19.9403489687684,20.4565260579646,21.6862894967173,22.6571986735957,21.9071863965087,33.9038250020113,39.234051187479,33.1423182238025,36.4736710354616,38.9652660124184,41.162680732101,37.9878834539509,40.844053202997,42.1865964180804,37.5440946577353,34.7692482044066,28.4585492135124,23.1679108659937,22.5743937271608,24.0933670346167,26.0186509255322,28.8021698096012,29.1679048603815,28.3909110793337,33.5158103689257,28.4451022782576,22.2943941667174,20.3979878227772,19.941883251984,20.8195348698393,21.3250111188733,21.3233961454094,22.058877059676,21.7582228339211
"belgium","bel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.0530721209619,63.9657318694372,61.9737400662227,64.6359958406322,61.4185845028535,60.6852525197028,59.8548395102952,57.9693614357144,55.9841332669964,54.3799550885521,54.3690355667348,55.6250464794591,55.9115864478482,57.0576852153589,54.6601038841842,52.6447812247613,53.0519674456806,51.6017331471078,50.9594882729211,50.496475560031,49.3985396448966,49.3793860063934,49.9035699255274,51.0471157641687,49.318779058015,51.8621970926051,48.7893317258751,48.5627977498334,50.7754241022565,54.5303176269286,53.902632404843,55.0269705106575,56.2448445104347,55.9020518629456,55.4164742603572,53.8809928333871,53.3784398798507,52.2541316349728,52.4509675902954,51.7511878292863,58.4530458221024,54.9391657296654,52.5042356349177,52.8038965695845,54.0549952279,54.9901652230559,54.9343554697906,55.0752456924462,55.2742635966682,55.6167186843411,55.9084785110954,56.1482555545862
"benin","ben",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0800563911488,18.1223099219799,17.2262842638536,18.4017476164456,16.3784436123217,18.5314314069089,20.1960160228539,18.1507848114673,17.3492381107435,14.8842348889359,10.7459700461976,15.6414542304145,15.4474579038373,15.283995111821,13.6859103627413,13.3595521253105,14.1385248796,13.0058229835057,15.8094655077411,14.5494170686794,16.9967964906072,14.0757789828686,14.7277832157011,14.2359331600724,14.8940283005124,14.2245565250983,18.1525629845262,15.4277864221874,17.6887421960852,16.4658035398686,14.2983215885916,19.0709716536297,20.020482682811,20.0247925688619,19.343825815976,18.2144331811001,18.4693544026484,18.8028508569178,19.254151012481,19.6356926461329,20.0282830503426,20.4153590236073,20.7334399937413
"burkina faso","bfa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4696172164244,16.309772839516,19.2322571934832,16.2086713301737,14.182974617543,18.4224813710172,16.9685528324564,16.7498447990993,17.8646849823955,17.8298544648703,19.4354840247997,19.7520798626435,20.0260193514674,19.7406433967892,21.3942849385507,19.8271369601932,19.6597660288885,19.4665092051301,17.5984539165733,20.2571841463049,20.2169723171235,21.878107978992,22.8384789298579,18.5905678708285,21.5191155422941,21.655048065067,20.4360313807053,22.6679756894996,25.2605738429447,20.9277238721167,20.3587422635191,21.6325218812008,26.2618145417488,24.1915730358184,23.3481105192147,24.4270776227324,27.8093271098776,32.8584230340486,29.4276243915149,27.8262971907134,26.0856162931448,24.6863293016245,24.2371777668618,24.4980920551205,24.6496101073777,24.7990664347845,24.918474589456
"bangladesh","bgd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9869924727193,10.2911974953556,10.5790832982042,10.603398088857,9.44318463844496,9.32465682811258,9.84813990203106,9.48791763956257,9.31673350354305,9.60133535412396,9.13785250782626,8.86205540818362,8.79661922157409,9.73947809324001,10.048485875152,10.4621588696323,9.79132741659228,9.88854579493788,9.82055043657649,8.6576171120329,9.75579468834614,10.729617423207,10.3556896807725,10.15224655093,9.88465933679173,10.2625539046493,10.1268955586555,9.62674882723202,11.5396662916423,10.5755839374447,10.6010921068594,11.534213563794,11.6947752810011,12.0875409176998,11.7480982293049,11.503141012745,11.6009521052152,12.2351307292883,12.9503934454057,13.5521471124665,13.3082203295475,12.9171700633253,13.0346668256575,12.6246600943427,12.0331915039412,10.8781713493945,12.1396162632255,14.612286700229,16.0470739799447,16.4942128703914,16.7846821184476,16.8868449747827
"bulgaria","bgr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.6048508893557,36.1562330949349,37.1301011950404,36.4771524246715,35.0746669495822,35.7646409113818,34.6105927624156,34.033338924219,32.5009245220627,33.1141847708164,33.452205495259,33.7714773490706,34.5540213404864,31.9540057764026,32.5187610494385,35.4699868983905,37.0804550096227,37.3295227734925,32.7246750872447,32.0284805575499,34.4486699331166,36.0654309906329,37.6587625678907,38.4524710770609,37.5674440226752,37.5112970702912,36.2846486767108,38.8743160747397,37.8198997597219,37.2066197381638,36.8426339064661,36.5631609511367,36.0890137683673,35.6717845845983
"bahrain, kingdom of","bhr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3625089327551,28.5357472270078,29.3988461439275,26.6947219677741,26.136233381545,25.0698583426081,22.6778333386009,30.9881371140808,25.6969432210147,27.0690496178773,22.1535253395541,26.5401238201775,30.580045475627,28.0902921723509,24.9929838087206,23.9066016482784,23.1319439626245,22.399354596395,22.6828205092677,24.5927464916233,31.0734345399616,30.1673154616005,31.1131340222312,31.9512551847562,27.2846338933815,34.8468829980448,33.2770454859411,30.6835033383373,32.069450830647,31.2318312676429,34.587917906931,30.6289104592887,28.4174977926655,29.0207903042567,28.8951783016221,29.3992394670027,30.6192359042966,30.2064160165033,29.9875358840062,29.718771321178,29.4027730433022,28.8957805911638
"bahamas, the","bhs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3964273297721,11.8904411216934,11.7961430694496,11.5115443971006,11.7489608939442,11.5323456022336,11.5104481016928,12.8724960183451,12.0341454081224,9.29504019136875,11.5627313782113,11.3786251312615,11.6317949439251,11.7890059125114,12.4850621053243,12.8509332224869,13.2411465435921,13.6292385801777,14.3382111053602,15.2265863947791,15.4320671670699,17.0718526365893,16.9714371264877,18.1491671379361,18.1171624299072,18.4118962704679,19.3575658597776,23.0630413244705,19.4462705891984,20.269546718799,24.760754712253,28.9229963281024,25.6236823601149,23.2202495222136,20.9699918793135,21.4817025667714,22.3014096895143,22.4071635716304,22.2662627253505,21.8106117680802,21.6839892474969,21.5212264780419
"bosnia and herzegovina","bih",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4281558358414,57.5025345834112,56.1645508733914,50.2037173898743,47.4342699054531,47.2874416634366,45.5906851986873,44.5285259228699,44.2293613319348,45.2011836036246,48.3718634030536,48.9708593531088,48.6795484633373,46.3820708165931,47.9488079851589,43.8107127870889,46.1776731790181,42.6883330192561,41.4552751220345,39.9808473734871,40.423106196109,39.9146822509704,45.3847746265527,40.6432424510405,39.3684532549629,41.8714476156303,43.2548384588596,44.8642408324983,45.3462746236555,46.0653673448605,46.3515042261086,46.4536318186772,46.5243124019766,46.7149728684695
"belarus, republic of","blr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.380254280196,43.7822236056963,43.53144067491,44.0025387645175,44.9854982653472,47.2098464929153,49.1707769263443,60.009148980617,51.7027682350714,44.3185403713146,40.2945223721135,38.8925627028358,40.8130396836833,38.8364486518183,41.7701135844047,40.6832167434034,39.0420885737696,37.8446223304495,37.3534745164086,38.0451851707427,36.7161507451728,38.0071432681755,40.3313195811774,40.8061271421186,41.2982703495468,41.3161177203867,41.08291579229,40.9341000662918,40.7778626458082,40.7105885786834,40.644917669706
"belize","blz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9052761269245,19.9302672758111,20.9193933508255,23.5920200574698,23.1601289641567,25.8567078334104,24.3775914687417,24.5590080122917,21.7031201822338,21.4008560978055,21.1672310008859,22.0575613219842,21.7757456324372,23.1801795976306,23.3041344787828,23.4727808629765,22.0564052586528,23.8077820915657,24.816242462925,27.947619824274,27.6616571014363,27.6689939424818,26.9307340495332,27.532201440455,33.1533635377341,25.7328229357685,23.4240809518234,25.7927161725177,26.7526925422961,25.8686096066845,26.0552685627405,26.2733054505474,26.1154958994229,25.7454309892918,25.597666821102,25.5564341775092
