"ccode","year","HL","F","SELF","G","P","vfi","logG","logP","Fed"
"egy",2014,1,1,NA,3235.662462,97528654,NA,8.08198896556867,18.3956567799712,0
"eri",1990,0,0,NA,NA,2032737,NA,NA,14.5248937187723,0
"eri",1991,0,0,NA,NA,1919571,NA,NA,14.4676122815381,0
"eri",1992,0,0,NA,642.0722335,1798748,NA,6.4647008106007,14.4026014252998,0
"eri",1993,0,0,NA,705.9884052,1856006,NA,6.55959881412892,14.4339374250817,0
"eri",1994,1,0,NA,829.9150372,1913915,NA,6.72132333073173,14.4646614403955,0
"eri",1995,4,0,NA,806.7029953,2025267,NA,6.69295556496442,14.5212121016829,0
"eri",1996,4,0,NA,838.6605726,2128464,NA,6.73180606275062,14.5709111507881,0
"eri",1997,4,0,NA,895.0337735,2152135,NA,6.79686145331707,14.5819709306382,0
"eri",1998,4,3,NA,899.0829742,2180419,NA,6.80137532631938,14.5950276181317,0
"eri",1999,4.5,3,NA,886.0536792,2212780,NA,6.78677753477434,14.6097602015293,0
"eri",2000,5,6,NA,845.1324301,2247031,NA,6.7394933370894,14.625120347245,0
"eri",2001,0,0,NA,893.2687354,2312079,NA,6.79488747110281,14.6536576777408,0
"eri",2002,1,0,NA,889.0091136,2392978,NA,6.79010748697992,14.6880491733673,0
"eri",2003,4,1,NA,830.3796723,2493903,NA,6.72188303270448,14.7293595111217,0
"eri",2004,4,0,NA,808.5914202,2598284,NA,6.69529374646524,14.7703617850958,0
"eri",2005,3.5,0,NA,809.7947935,2661215,NA,6.69678087421212,14.7942933433889,0
"eri",2006,3,0,NA,789.402432,2703502,NA,6.67127624404488,14.8100585275857,0
"eri",2007,4,0,NA,789.0727017,2743222,NA,6.67085846070733,14.8246436999295,0
"eri",2008,4,1,NA,693.3988742,2816327,NA,6.54160540965572,14.8509441116775,0
"eri",2009,0,0,NA,702.4309365,2887885,NA,6.55454708534303,14.8760349582574,0
"eri",2010,3.5,0.5,NA,703.8773744,2945186,NA,6.55660415689532,14.8956825309682,0
"eri",2011,0,0,NA,751.3748998,2998485,NA,6.6219047280038,14.9136177190769,0
"eri",2012,0,0,NA,NA,3036988,NA,NA,14.9263767927524,0
"eri",2013,0,0,NA,NA,3074360,NA,NA,14.9386073074794,0
"eri",2014,0,0,NA,NA,3095173,NA,NA,14.9453543591461,0
"esp",1990,3,0,20.75,19174.77083,38867322,NA,9.86135067466469,17.4756644041339,0
"esp",1991,3,0,20.75,19612.9766,38966376,NA,9.88394669757458,17.4782096783794,0
"esp",1992,4,0,20.75,19698.51177,39157685,NA,9.88829836720239,17.4831072574338,0
"esp",1993,4,0,20.75,19394.49314,39361262,NA,9.87274444599301,17.4882926926424,0
"esp",1994,4,0,20.75,19762.38863,39549108,NA,9.89153584608123,17.4930536981941,0
"esp",1995,3.5,0,20.76,20217.90319,39724050,0.599966406822205,9.91432378739509,17.4974673556895,0
"esp",1996,4,0,20.76,20658.84028,39889852,0.602458417415619,9.9358986075066,17.5016325136716,0
"esp",1997,0,0,21.7,21310.43119,40057389,0.539766430854797,9.96695195905032,17.5058237088437,0
"esp",1998,4,0,22.05,22135.4045,40223509,0.533856689929962,10.0049336192256,17.5099621836548,0
"esp",1999,2.5,0,22.05,23017.83877,40386875,0.538567304611206,10.0440247929857,17.51401541391,0
"esp",2000,1.5,0,22.05,24106.88185,40567864,0.551447987556458,10.0902526326579,17.5184867840554,0
"esp",2001,3,0,22.05,24878.37845,40850412,0.568436861038208,10.1217543698899,17.5254274648987,0
"esp",2002,3.5,0,22.05,25205.31548,41431558,0.526650190353394,10.1348101830026,17.5395534189463,0
"esp",2003,4,0,22.05,25481.16537,42187645,0.527391850948334,10.1456948452964,17.5576379636282,0
"esp",2004,0,0,22.05,25825.31065,42921895,0.500311017036438,10.1591103229571,17.5748926266626,0
"esp",2005,0,0,22.05,26294.44738,43653155,0.491575092077255,10.1771130696398,17.5917861171338,0
"esp",2006,0,0,22.05,26899.09215,44397319,0.471984297037125,10.1998478159498,17.6086896426965,0
"esp",2007,0,0,22.19,27338.79542,45226803,0.495201289653778,10.2160620500535,17.627200455781,0
"esp",2008,0,0,22.19,27112.52629,45954106,0.557230651378632,10.2077511247981,17.6431537607716,0
"esp",2009,0,0,22.19,25860.81426,46362946,0.594369769096375,10.1604841390691,17.6520111205773,0
"esp",2010,0,0,22.56,25766.25158,46576897,0.60200697183609,10.1568208363339,17.6566152036279,0
"esp",2011,4,0,22.56,25510.55797,46742697,0.565195560455322,10.1468476834956,17.6601685875926,0
"esp",2012,3,0,22.56,24763.56827,46773055,0.451562970876694,10.1171288307123,17.6608178472182,0
"esp",2013,3,0,22.56,24498.55595,46604197,0.487960606813431,10.1063694539794,17.657201159418,0
"esp",2014,1,0,22.56,24947.85125,46460733,0.484076648950577,10.1245429752264,17.6541180621946,0
"est",1990,0,0,NA,9341.225615,1569174,NA,9.14219274477675,14.2660599242279,0
"est",1991,0,0,NA,8637.205981,1561314,NA,9.06383442767022,14.261038332376,0
"est",1992,4,0,0,6934.170666,1533091,NA,8.84421673886391,14.2427965168228,0
"est",1993,0,0,0,6706.560001,1494128,NA,8.81084143099563,14.2170533170424,0
"est",1994,0,0,0,6738.999144,1462514,NA,8.8156666979244,14.1956674306919,0
"est",1995,0,0,0,7170.946077,1436634,0.881682097911835,8.8777928742615,14.1778134353343,0
"est",1996,0,0,0,7637.257083,1415594,0.862804055213928,8.94079379714752,14.163059788959,0
"est",1997,0,0,0,8732.990857,1399535,0.839752435684204,9.07486318546483,14.1516505965567,0
"est",1998,0,0,0,9199.935341,1386156,0.864887773990631,9.12695173486026,14.1420450065108,0
"est",1999,0,0,0,9133.895934,1390244,0.865983545780182,9.11974760042407,14.14498982927,0
"est",2000,1,0,0,10006.76963,1396985,0.854566812515259,9.21101710594009,14.1498269008873,0
"est",2001,0,0,0,10662.9455,1388115,0.86251312494278,9.27452997287317,14.1434572696427,0
"est",2002,0,0,0,11474.66227,1379350,0.836983263492584,9.34789660268734,14.1371229316785,0
"est",2003,0,0,0,12424.04415,1370720,0.855193853378296,9.42738891842813,14.1308467071979,0
"est",2004,0,0,0,13348.52845,1362550,0.856370329856873,9.49916142928837,14.1248685020939,0
"est",2005,0,0,0,14703.61797,1354775,0.852971851825714,9.59584886289233,14.1191459468473,0
"est",2006,0,0,0,16234.5152,1346810,0.859057128429413,9.69489482268055,14.1132493912489,0
"est",2007,0,0,0,17543.46618,1340680,0.868971407413483,9.77243686213822,14.108687505898,0
"est",2008,0,0,0,16688.99777,1337090,0.865831553936005,9.72250496512245,14.1060061687026,0
"est",2009,0,0,0,14274.85111,1334515,0.856374561786652,9.56625460434723,14.1040784879284,0
"est",2010,0,0,0,14657.93981,1331475,0.83436781167984,9.59273743418728,14.1017979082431,0
"est",2011,2,0,0,15820.92234,1327439,0.83512544631958,9.66908854177132,14.0987620800067,0
"est",2012,0,0,0,16460.68435,1322696,0.847393333911896,9.70873004991599,14.0951826358922,0
"est",2013,1,0,0,16809.53267,1317997,0.852583408355713,9.72970142530235,14.091623717866,0
"est",2014,1,0,0,17413.68676,1314545,0.842264711856842,9.76501177140089,14.089001156115,0
"eth",1990,0,0,NA,267.0781345,47609755,NA,5.58754125416671,17.6785482351797,0
"eth",1991,0,0,NA,237.5024547,49717198,NA,5.47017795900023,17.7218614674274,0
"eth",1992,0,0,NA,207.9678809,51853747,NA,5.33738364902752,17.7639377561811,0
"eth",1993,0,0,NA,227.1732956,53708891,NA,5.42571314296715,17.7990891137444,0
"eth",1994,0,0,NA,226.3999126,55611508,NA,5.42230296028655,17.833900716221,0
"eth",1995,0,0,NA,232.2304506,57537335,NA,5.44773020020064,17.8679445994085,0
"eth",1996,0,0,NA,252.612985,59467635,NA,5.53185861397919,17.9009427729418,0
"eth",1997,0,0,NA,252.3116667,61404539,NA,5.53066509595722,17.9329943154665,0
"eth",1998,5,6,NA,236.0555145,63363524,NA,5.46406700829536,17.9643989226107,0
"eth",1999,4.5,3.5,NA,240.6047113,65374561,NA,5.48315538481187,17.9956437652217,0
"eth",2000,5,6,NA,247.5054137,67411494,NA,5.51143245530488,18.0263260954679,0
"eth",2001,0,0,NA,260.0423161,69487762,NA,5.56084437200326,18.0566612086991,0
"eth",2002,4,0,NA,256.0666359,71635517,NA,5.54543770709269,18.087101556426,0
"eth",2003,4,0,NA,243.076666,73832663,NA,5.49337689152393,18.1173117797334,0
"eth",2004,1,0,NA,267.9235134,76077206,NA,5.59070154201597,18.1472592510265,0
"eth",2005,3.25,0,NA,290.8333814,78367470,NA,5.67275053068067,18.1769194757467,0
