"country","ccode","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"honduras","hnd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.677186548709869,0.551673352718353,0.666331589221954,0.508770346641541,0.816994547843933,0.667952537536621,0.470261752605438,0.394213676452637,0.487275540828705,0.496020883321762,0.572818219661713,0.514766871929169,0.550269961357117,NA,NA,NA,NA,NA
"hungary","hun",NA,NA,NA,NA,NA,0.638763129711151,0.617459058761597,0.558123767375946,0.527750492095947,0.519599556922913,0.486722439527512,0.512186706066132,0.475470632314682,0.530390679836273,0.483196884393692,0.486900240182877,0.473539590835571,0.478231489658356,0.64621490240097,0.611861824989319,0.620971620082855,0.71862930059433,0.642745494842529,0.872961223125458,0.764522314071655,0.589782893657684,0.510210871696472,0.504899978637695,0.507295727729797,0.505498111248016,0.55701208114624
"iceland","isl",NA,NA,NA,NA,NA,NA,NA,NA,0.0852645859122276,0.09382414072752,0.0864394307136536,0.0875213369727135,0.0757576674222946,0.0890398696064949,0.0830171033740044,0.0927289202809334,0.0962432399392128,0.105980195105076,0.0975874587893486,0.0957216992974281,0.106630101799965,0.104051813483238,0.096368171274662,0.100256107747555,0.0981398150324821,0.0952426344156265,0.102447792887688,0.0743363723158836,0.0788792222738266,0.0746322870254517,0.0877607837319374
"indonesia","idn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699237465858459,0.711544215679169,0.729045569896698,0.695081293582916,0.668944716453552
"iran, islamic republic of","irn",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0322976782917976,0.0735803619027138,0.061719574034214,0.0689117833971977,0.114713475108147,0.0620580762624741,0.0758491829037666,0.0629747956991196,0.0559259727597237,0.0445685833692551,0.0360065922141075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"israel","isr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379869669675827,0.391430109739304,0.370327055454254,0.357005327939987,0.364923626184464,0.357616126537323,0.322691977024078,0.316173136234283,0.299133747816086,0.290324538946152,0.296623915433884,0.312003701925278,0.304456532001495,0.29932713508606,0.309610158205032,0.327189445495605,0.349247246980667,0.375006377696991,0.377192467451096,0.379801601171494,0.464132010936737
"japan","jpn",NA,NA,NA,NA,0.356748968362808,0.33217003941536,0.338372021913528,0.330983817577362,0.342506259679794,0.39379671216011,0.392590820789337,0.380405336618423,0.3677918612957,0.354921042919159,0.361086338758469,0.363840967416763,0.345956027507782,0.272982358932495,0.29667329788208,0.369891762733459,0.341402739286423,0.386935502290726,0.370746999979019,0.373689562082291,0.352328598499298,0.34002822637558,0.334043502807617,0.326838731765747,0.321901708841324,0.329798996448517,0.462898761034012
"kazakhstan, republic of","kaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0451887547969818,-0.132111728191376,0.083267405629158,0.159666493535042,0.26596400141716,0.274261176586151,0.359310209751129,0.433548510074615,0.56418389081955,0.627996742725372,0.606259286403656,0.625249266624451,0.600756049156189,0.583718657493591,0.591746032238007,0.541582226753235,0.554666996002197,0.52971738576889,0.481905162334442,0.57806009054184,0.545226991176605
"kenya","ken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181012749671936,0.321866750717163,0,0,0,0,0.496572315692902,0.0716917663812637,NA,1.36377429962158,0.865942716598511,0.909753680229187,0.911939442157745,1.06062996387482,0.947937905788422,0.805612087249756
"kiribati","kir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297095894813538,0.250041007995605,0.244713142514229,0.276998400688171,0.442613750696182,0.412021845579147,0.430347293615341,0.5757155418396,0.582622885704041,0.634390354156494
"korea, republic of","kor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585315763950348,1.00953710079193,0.578517854213715,0.496395170688629,0.531312644481659,0.585780322551727,0.508429408073425,0.529002785682678,0.498703420162201,0.485135287046433,0.521970450878143,0.53167587518692,0.588215351104736,0.614788472652435,0.566809415817261
"kyrgyz republic","kgz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458967119455338,0.49765408039093,0.497771054506302,0.454515635967255,0.496956408023834,0.61197566986084,0.60656601190567,0.416230469942093,0.0506493598222733,0.0846633240580559,0.157930180430412,0.281854867935181,0.206624373793602,0.138809248805046,NA
"latvia, republic of","lva",NA,NA,NA,NA,NA,0.0040937983430922,0.240239351987839,0.404676139354706,0.29636362195015,0.260423958301544,0.274896591901779,0.268844187259674,0.276575237512589,0.301308631896973,0.283855378627777,0.259878844022751,0.255514830350876,0.32664480805397,0.316466242074966,0.336020559072495,0.373929291963577,0.324172824621201,0.305223971605301,0.29738387465477,0.304299652576447,0.308208703994751,0.28831085562706,0.280724406242371,0.30146649479866,0.390564173460007,0.402365803718567
"mauritius","mus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627375662326813,0.767432689666748,0.772738099098206,0.774453997612,0.797818958759308,0.840971708297729,0.838081240653992,0.837527215480804,0.885561347007751,0.868283867835999,0.970890581607819,0.783520579338074,0.918972194194794,0.884622097015381,0.857806205749512,0.981918156147003,0.983564376831055,0.854163229465485,0.960473597049713
"mexico","mex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831755399703979,0.813772022724152,0.784135460853577,0.799747705459595,0.797143757343292,0.819428205490112,0.81853449344635,0.824957132339478,0.829042017459869,0.810965478420258,0.810570597648621,0.813385367393494,0.807649493217468
