"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","SECTOR","FREQUENCY","SCALE","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.STA:FD(6.0.0)","THA.VFI_PT.SNG.A","OBS_VALUE","Thailand","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","","0.302157819271088","0.318354398012161","0.416963487863541","0.392210066318512","0.432203382253647","0.515439450740814","0.581084966659546","0.600651741027832","0.648885130882263","0.539799630641937","0.539432764053345","0.551175475120544","0.609745621681213","0.605506896972656","0.614730358123779","0.606945097446442","0.609234869480133","0.556610524654388","0.51683384180069","0.552330732345581","0.658247649669647"
"IMF.STA:FD(6.0.0)","KOR.VFI_PT.SNG.A","OBS_VALUE","Korea, Republic of","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","0.538429498672485","0.282575279474258","0.529125809669495","0.600920975208282","0.550875186920166","0.569796442985535","0.51187652349472","0.520113527774811","0.4749656021595","0.455936521291733","0.47875589132309","0.482484370470047","0.537024974822998","0.560892581939697","0.605017244815826"
"IMF.STA:FD(6.0.0)","UKR.VFI_PT.SNG.A","OBS_VALUE","Ukraine","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","0.224932789802551","0.223371684551239","0.290563583374023","0.430986911058426","0.43541756272316","0.465971797704697","0.414864659309387","0.433172732591629","0.450475990772247","0.478404104709625","0.519235014915466","0.548659384250641","0.521381080150604","0.550439298152924","0.568596839904785","0.509315490722656","0.533848226070404","0.533952951431274","0.462748229503632","0.336853116750717"
"IMF.STA:FD(6.0.0)","ARE.VFI_PT.SNG.A","OBS_VALUE","United Arab Emirates","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","-0.215951010584831","-0.26411184668541","-0.250667214393616","-0.0170220769941807","0.212009698152542","0.0311661045998335","-0.0677526518702507","-0.247766777873039","-0.149957329034805","0.11525634676218"
"IMF.STA:FD(6.0.0)","BLR.VFI_PT.SNG.A","OBS_VALUE","Belarus, Republic of","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","0.143214225769043","0.126233622431755","0.204460263252258","0.280897080898285","0.309053361415863","0.2354806214571","0.290299475193024","0.346516758203506","0.291781783103943","0.280098080635071","0.27486127614975","0.226176083087921","0.180527076125145","0.131316944956779","0.147252678871155","0.16658690571785","0.179397493600845","0.219363883137703"
"IMF.STA:FD(6.0.0)","AUT.VFI_PT.S1311MIXED.A","OBS_VALUE","Austria","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","","","","","","-0.352354168891907","-0.458180010318756","-0.569175839424133","-0.573958396911621","-0.623844146728516","-0.641870379447937","-0.716871559619904","-0.704929113388062","-0.675186693668365","-0.418751418590546","-0.576120376586914","-0.597390472888947","-0.647402226924896","-0.659166932106018","-0.475583881139755","-0.555802822113037","-0.640063107013702","-0.664144814014435","-0.699807226657867","-0.624883949756622","-0.802232921123505","-0.749780058860779","-0.781584560871124","-0.837224185466766","-0.885465323925018","-0.345563024282455"
"IMF.STA:FD(6.0.0)","KIR.VFI_PT.S1311MIXED.A","OBS_VALUE","Kiribati","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","","","","","","","","","","","","","","","","","","","","","0.0056866048835218","0.199431627988815","0.0431892536580563","-0.118305198848248","-0.494071245193481","-0.727858066558838","-0.213542088866234","-0.18325038254261","-0.465321242809296","-0.125954285264015","-0.119009517133236"
"IMF.STA:FD(6.0.0)","ARM.VFI_PT.SNG.A","OBS_VALUE","Armenia, Republic of","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","0.407541632652283","0.460635304450989","0.552007973194122","0.43497097492218","0.571336567401886","0.614448249340057","0.540306329727173","0.695360541343689","0.47765126824379","0.501215040683746","0.481752127408981","0.465203851461411","0.399785459041595","0.392226070165634","0.416760355234146","0.399526476860046","-0.221775785088539","-0.00774573255330324"
"IMF.STA:FD(6.0.0)","ZAF.VFI_PT.SNG.A","OBS_VALUE","South Africa","Vertical fiscal imbalance, Percent","Subnational government","Annual","Units","","","","","","","","0.729768812656403","0.699637949466705","0.669403314590454","0.668460726737976","0.675997018814087","0.698727011680603","0.696524381637573","0.703224182128906","0.714998424053192","0.707655072212219","0.694825768470764","0.681671559810638","0.721750497817993","0.763654053211212","0.716521441936493","0.721055865287781","0.7118119597435","0.667573988437653","0.704330205917358","0.705343127250671","0.696074247360229","0.702206790447235","0.699295043945313","0.701134920120239","0.698784649372101"
"IMF.STA:FD(6.0.0)","NLD.VFI_PT.S1311MIXED.A","OBS_VALUE","Netherlands, The","Vertical fiscal imbalance, Percent","Central government","Annual","Units","","","","","","","-0.637711226940155","-0.747996509075165","-0.741335690021515","-0.715824007987976","-0.786491215229034","-0.880964577198029","-0.853874266147614","-0.89583694934845","-0.89112913608551","-0.999983727931976","-1.18344628810883","-1.14766991138458","-1.13419723510742","-1.05191791057587","-0.808422446250916","-0.854998409748077","-0.833662807941437","-0.847269773483276","-0.845587611198425","-0.942579388618469","-0.996845781803131","-0.980981230735779","-1.1623318195343","-1.15820968151093","-1.22188091278076","-0.913758218288422"
