"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031"
"IMF.FAD:FM(5.0.0)","GX206.GNLB_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Latin America","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.9267096863813553","-1.968163838916351","","","","","-3.569890566834268","-2.060270136196006","-3.168069330563315","-2.702132673572378","-2.703059857306073","-1.116001904219988","-1.031480708153891","-1.709066946477648","-1.07347738598909","-1.109347493096199","-3.969589738151192","-3.128993873036161","-2.69096671084316","-2.737570359493176","-3.330128802193681","-4.849980369979109","-5.923886154527422","-5.360514160564536","-5.133227955340699","-4.986104618071434","-3.721763331650933","-8.152632391177781","-3.872522015356636","-3.61667462259457","-5.136586579887732","-4.725513904046359","-5.156552923926375","-4.7200348862197","-4.087403108906278","-3.51904538512418","-3.379363673897269","-3.320506848263863","-3.28914689878205"
"IMF.FAD:FM(5.0.0)","GX905.GNLB_S13_POGDP_PT.A","OBS_VALUE","Emerging and Middle-Income Europe","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.739419568515233","-2.681930662729109","-2.896377377020624","-2.993998142187437","-4.000126188502458","-3.001132023061195","-0.7721640505290971","1.752322502457877","2.344730395388215","1.487587641867238","0.592575038275929","-5.486319929997893","-3.565718942941273","-0.1757568763548525","-0.7431984840506698","-1.454509706177527","-1.395100451345285","-2.506963062416263","-2.643993698858973","-1.72837350423024","0.4234496072331118","-0.5687227283818774","-5.359609330385557","-1.669437544583806","-2.267802897658237","-4.059612858072875","-4.098042403143647","-4.743733878756727","-3.935140610567805","-4.137897827305702","-3.934638204372378","-3.342475280293952","-3.229229898319064","-3.213763249665727"
"IMF.FAD:FM(5.0.0)","ITA.G2M_S13_POGDP_PT.A","OBS_VALUE","Italy","Expenditure, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.28778676339328","49.448829355205","54.16856625575757","55.31841004561995","56.78035288724107","57.76713629725558","55.05948278152463","51.44681289259603","51.34932641052928","49.32457791256085","48.00417434460424","47.07668215929868","46.36849022770947","47.1317964518456","46.49323286527257","46.96852762568727","46.66673985852471","47.05341234216079","47.55991547981106","46.60032952748817","47.75083347528776","51.05261197633746","49.79881874774405","49.02661637794496","50.48083194367808","50.9006877979548","50.71500136624465","50.24379568538753","48.97991384609609","48.78294151939847","48.32068059293127","48.42383815226272","56.78374958757806","56.03932248869476","54.93427917798799","53.6267514924788","50.39910882271866","51.05553511017697","50.60851162801266","50.38330096419706","50.12722077375555","50.21856210958099","50.13779718248662","50.27355769013299"
"IMF.FAD:FM(5.0.0)","DNK.GNLB_S13_POGDP_PT.A","OBS_VALUE","Denmark","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","-1.954965585585099","-3.684428129345879","-6.792080474367525","-9.232090603121973","-6.507905149085874","-4.413291540986188","-1.615667074663403","1.32314704482136","1.425593193786679","-0.09128791823688315","-1.347829052500292","-1.779453456086512","-3.153204256241653","-2.597793619127455","-3.726187307297296","-3.853308450091095","-3.504455405389747","-2.397191916088625","-1.219483417280429","-0.2829015421635513","1.063756063756064","1.791727344920712","1.125137271848176","0.2516507495678295","0.1393432312201116","2.234787112979358","5.201691236724716","5.28642177206597","5.307823105836351","3.462412161874676","-2.746179597925448","-2.520552750957584","-1.765509063408153","-3.202482067558473","-0.9437081644757372","1.428043359919041","-0.8950323267688107","0.3024000236019531","1.688992774443058","0.8104149599160613","4.282923047337753","0.3625477630351716","4.078119737120387","3.389324656903328","3.43014228113967","4.458709929146346","2.85153348580567","0.1617845034475292","-0.3752428730313268","-0.2809383491272814","-0.5151748909135101","-0.5397823297070181","-0.5074968330972921"
"IMF.FAD:FM(5.0.0)","G120.GNLB_S13_POGDP_PT.A","OBS_VALUE","G20","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.526276403911054","-3.20502378259167","-4.209318887672854","-4.299953235675468","-4.966902178395557","-3.761887029885494","","","-3.068904196207406","-2.910820427860207","-2.166321864423404","-3.849363540204327","-4.238473813805633","-3.303983821057073","-2.41427217957001","-1.500459643590187","-1.429972497610707","-2.933046880975087","-7.844475299456217","-6.497358964324858","-5.007345457852625","-4.399730124367443","-3.27494163301423","-3.060746937970001","-3.323041594195436","-3.565052975916646","-3.406891426044022","-3.39348325753623","-4.185481838454413","-10.46199722615372","-7.21837643424351","-4.489337951059073","-5.911136086004521","-5.896372847132471","-5.729321619907948","-5.968008780498427","-5.932170850995686","-5.921898748493169","-5.74972239288049","-5.714780749293301","-5.685146411791438"
"IMF.FAD:FM(5.0.0)","G119.GNLB_S13_POGDP_PT.A","OBS_VALUE","G7","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.585589834884775","-3.279974435797172","-4.508297973190641","-4.544867955038665","-5.783350992660687","-4.401608300218333","","","","","-1.994687304531496","-4.118731149651002","-4.702250779567291","-3.951423053344511","-3.244368529311443","-2.20117072480821","-2.22341721327005","-4.48907918289202","-9.806927435139505","-8.78520127958257","-7.370880303190006","-6.491556778579869","-4.339166848864966","-3.606164200334716","-3.008505901055243","-3.317907055429691","-3.346298742168824","-3.35392045529534","-3.791770301988457","-11.68814805819051","-8.881856451214789","-3.720483501471104","-6.186925063422848","-6.10235421244822","-5.312601312961818","-5.808487121414642","-5.71623593840501","-5.780601961232996","-5.625172591771897","-5.594834801889814","-5.523533378428892"
"IMF.FAD:FM(5.0.0)","GX149.GNLB_S13_POGDP_PT.A","OBS_VALUE","Emerging G20","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.528598970815473","-3.021229863978589","","","-2.724718988381163","-4.136926570709236","-4.071028676695528","-3.091017092067438","-3.754218351766585","-3.900403008388268","-3.370742255656077","-1.379043246527834","-0.06176496233555265","0.250686354168229","0.2067462854718341","0.5507872261944925","-3.80653564693869","-2.373025452775667","-1.059630192666019","-1.155729163978869","-1.810910010794379","-2.428113449651291","-4.153569304765671","-4.432836719502564","-3.999645468076673","-3.995947250482894","-5.092106851638829","-9.211370042697194","-5.309827767473971","-5.870177928625964","-6.052726016245111","-6.070563973950866","-6.720114123052628","-6.624177085535279","-6.690492541495944","-6.569374917429039","-6.364101020420452","-6.317215833696703","-6.330834428368941"
"IMF.FAD:FM(5.0.0)","GX234.G1_S13_POGDP_PT.A","OBS_VALUE","Low-Income Developing Others","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.93311302621231","20.35695206114427","23.35902634402779","21.57910919430436","19.27913215286628","21.25943022258455","23.55115476461811","21.26115137079873","21.43780311411118","21.03962568476427","19.52239053925117","17.52394581301177","16.59255891224782","17.98556971368994","19.55423068537124","20.03973108151249","21.08414253050961","21.02690310583485","23.85518669088336","21.37601741172713","22.08311375241027","21.76324397150385","21.97562381278693","20.2899067629229","19.71423971445428","18.46025017745174","17.57211403233309","18.27459192236126","20.57010448725785","20.38915946198917","18.72673885955245","19.62158148373013","23.70400513409743","20.92938549435639","21.76946640954609","22.67852852553188","24.38047894881755","25.04112371255485","25.04959931752584","25.11195652766438","25.23404576493532","25.24001594111058"
"IMF.FAD:FM(5.0.0)","NOR.GNLB_S13_POGDP_PT.A","OBS_VALUE","Norway","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","0.8317197425710101","1.910260121919919","5.160087158694252","4.575089699499178","3.710622727602711","5.751804779402492","6.690736195719876","9.496801925019674","5.540010701647645","4.246281444756196","2.379854244402504","1.557788733334344","1.961623768136085","-0.1195918936731937","-2.078898795248317","-1.653206177424368","0.04151596726062983","2.979641367114123","6.048167061967015","7.413880322444056","3.091129673637816","5.753050091925023","15.12021862289947","13.22235740246361","9.052533855479003","7.210613206239104","10.8186693649262","14.6528203517901","17.73534640630099","16.82168395882678","18.25039888462544","9.996430951368497","10.64714207579406","12.97505940308165","13.35892906481735","10.33110199471714","8.337783810190649","5.800545827403903","3.906435146144612","4.791339228480985","7.559318540406449","6.284156591507322","-2.461612580038042","9.926398461592371","24.66834236557285","15.85751232827133","12.78691541347207","9.344180681522816","10.16522512651554","8.264009580476625","7.573195781610573","7.203616895172186","6.805196717675849","6.325823930280575"
"IMF.FAD:FM(5.0.0)","G120.G1_S13_POGDP_PT.A","OBS_VALUE","G20","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.73959883268364","35.91795415447636","34.12297172425582","33.77933316381905","33.41432421260586","33.38580130847462","","","33.41620612586282","32.56281494585746","32.45421980765987","31.42292736981905","31.54803747918535","31.88438347538628","32.58278550780123","33.07419843816529","33.21113488466342","33.30015891491124","31.66922029438506","31.41680559613712","32.22404667456977","32.36699748131361","32.99969559068981","32.93879938436179","32.70965413659987","32.54383852345128","32.36561951321229","32.43309157052699","32.04254763979873","31.61797088622223","32.39202257486286","32.5915279005261","31.45327419954781","31.63068483799667","31.99324752091367","31.93810868747742","31.95003169858856","31.83996280662625","31.81891792906532","31.85992136206503","31.8334568413397"
