"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","SECTOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.STA:FD(6.0.0)","KIR.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Kiribati","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","","","","0.36770823597908","0.342012345790863","0.349102824926376","0.388789713382721","0.685656905174255","0.642425775527954","0.837181508541107","0.954023599624634","1.00277495384216","1.03709721565247"
"IMF.STA:FD(6.0.0)","ALB.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Albania","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","","","","0.735698640346527","0.720018327236176","0.758102476596832","0.801507949829102","0.737329185009003","0.769492030143738","0.751663982868195","0.71068811416626","0.656711041927338","0.673663556575775"
"IMF.STA:FD(6.0.0)","NLD.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Netherlands, The","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","0.744612991809845","0.680550217628479","0.7109015583992","0.665594398975372","0.66488653421402","0.668949663639069","0.666616797447205","0.664294362068176","0.676067471504211","0.663584113121033","0.665333449840546","0.676778554916382","0.679441213607788","0.667378962039948","0.676352918148041","0.664522111415863","0.683833777904511","0.69190114736557","0.683867275714874","0.686943590641022","0.704660594463348","0.720227837562561","0.710346639156342","0.709030091762543","0.705550372600555","0.727467477321625"
"IMF.STA:FD(6.0.0)","NLD.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Netherlands, The","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","2.90523338317871","2.04742527008057","2.07031726837158","1.99328899383545","1.98003149032593","2.02694463729858","2.08658981323242","2.2053701877594","2.30301284790039","2.11758613586426","2.12509179115295","2.23946523666382","2.30053043365479","2.36060929298401","2.5604395866394","2.52927279472351","2.52273440361023","2.49294137954712","2.36419725418091","2.32584238052368","2.49956774711609","2.53074645996094","2.49917483329773","2.55977368354797","2.58329796791077","2.89089345932007"
"IMF.STA:FD(6.0.0)","GEO.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Georgia","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","4.19999980926514","5.90128755569458","3.3738317489624","2.62921357154846","3.08823537826538","4.49632358551025","7.13877534866333","5.8187198638916","5.12595415115356","9.85573768615723","6.8630952835083","5.1860466003418","2.64823484420776","3.6003110408783","3.28724551200867","3.25617551803589","3.08483982086182","3.15729022026062","2.64914584159851","2.2399628162384","2.27948522567749","2.02218866348267","1.71415746212006","1.79460906982422","1.92970705032349","2.44570827484131"
"IMF.STA:FD(6.0.0)","AZE.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Azerbaijan, Republic of","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","2.28273463249207","2.80204772949219","3.50895524024963","3.79733729362488","3.50799989700317","3.4470157623291","2.96004104614258","3.26752972602844","1.43472719192505","1.53733491897583","1.22959780693054","1.1511846780777",""
"IMF.STA:FD(6.0.0)","KAZ.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Kazakhstan, Republic of","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","","","","","","","","","-0.0413470603525639","-0.114757560193539","0.0927643924951553","0.18686531484127","0.375880807638168","0.406515628099442","0.532643377780914","0.707907795906067","1.19658744335175","1.47232580184937","1.39996898174286","1.48940813541412","1.45257234573364","1.34817898273468","1.35845577716827","1.12327218055725","1.2258962392807","1.0863516330719","0.913729548454285","1.28129923343658","1.31394779682159"
"IMF.STA:FD(6.0.0)","TUR.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Türkiye, Republic of","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","","","","","","","","","","","","","","","","","0.508279919624329","0.57317316532135","0.634165227413177","0.62596732378006","0.634286284446716","0.592122554779053","0.572036385536194","0.632106840610504","0.568665981292725","0.588476121425629","0.572727978229523","0.639853179454803","0.733683466911316"
"IMF.STA:FD(6.0.0)","MNG.TRANSFERDEP2_R_NT_OR_PT.SNG.A","OBS_VALUE","Mongolia","Transfer dependency method 2, Ratio of net transfers to own revenue, Percent","Subnational government","Annual","Units","","","0.30796229839325","0.681835472583771","0.491221278905869","0.474889069795609","0.606027126312256","0.638954520225525","0.64267361164093","0.749610304832459","0.875734686851501","0.855500638484955","0.737422347068787","-0.0684600174427032","","","0","-0.0776581019163132","-0.0863821879029274","-0.375461488962173","-0.339814692735672","-0.207056030631065","-0.0285938549786806","1.43460547924042","1.30457389354706","1.41261041164398","1.29577398300171","0.916214108467102","0.729435205459595","0.0910713449120522","1.3350715637207"
"IMF.STA:FD(6.0.0)","MNG.TRANSFERDEP1_R_NT_OS_PT.SNG.A","OBS_VALUE","Mongolia","Transfer dependency method 1, Ratio of net transfers to own spending, Percent","Subnational government","Annual","Units","","","0.26839479804039","0.434592813253403","0.332961767911911","0.302601933479309","0.3724744617939","0.390014290809631","0.372142523527145","0.42670202255249","0.430841147899628","0.467747747898102","0.440866708755493","-0.0780309215188026","","","0","-0.0804909840226173","-0.0949510186910629","-0.660496354103088","-0.534845292568207","-0.304064720869064","-0.0351075418293476","0.624831140041351","0.555385112762451","0.572949945926666","0.526936054229736","0.483150511980057","0.422910809516907","0.085428275167942","0.577430963516235"
