"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.FAD:GDD(2.0.0)","AZE.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Azerbaijan, Republic of","Debt instruments, Central government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.67","19.21","16.72","11.44","14.29","25.41","13.13","12.95","11.89","10.66","9.71","6.85","5.30","4.00","3.22","4.73","4.98","4.97","5.83","6.18","8.53","17.98","20.61","22.51","18.69","17.66","21.33","26.35","17.32","21.81","20.85"
"IMF.FAD:GDD(2.0.0)","BEL.B1GQ_V_XDC.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","8.23","9.71","10.21","10.27","10.70","11.37","12.09","12.83","12.93","13.39","14.22","15.13","16.18","17.39","19.47","21.19","22.75","24.39","26.07","28.92","32.18","35.26","39.47","44.84","52.60","58.21","66.16","71.55","76.84","82.18","89.38","93.71","101.40","107.43","116.06","123.44","129.20","134.41","143.81","155.94","165.35","173.23","181.90","187.35","197.44","210.49","214.29","224.10","232.62","242.31","256.38","264.34","273.26","281.20","296.82","310.04","325.15","343.62","351.74","347.74","363.24","378.75","387.94","394.62","404.96","415.54","428.47","443.41","459.49","479.45","463.75","506.02","563.54","596.32","614.54"
"IMF.FAD:GDD(2.0.0)","COM.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Comoros, Union of the","Debt instruments, Central government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150.12","142.80","136.64","128.81","119.86","113.65","108.13","103.87","100.99","95.74","87.78","77.70","75.35","70.88","69.36","64.48","60.71","52.96","48.17","44.45","42.40","39.89","38.48","35.62","33.22","31.73","30.46","27.67","25.07","10.28","11.82","14.27","16.16","18.93","17.02","21.23","24.32","26.28","28.18","28.65","30.82"
"IMF.FAD:GDD(2.0.0)","ARG.B1GQ_V_XDC.A","OBS_VALUE","Argentina","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.03","0.12","3.63","77.06","202.26","253.40","264.43","287.84","288.50","304.28","327.44","334.24","317.00","317.76","300.42","349.49","420.29","485.12","582.54","715.90","896.98","1149.65","1247.93","1661.72","2179.02","2637.91","3348.31","4579.09","5954.51","8228.16","10660.23","14744.81","21558.44","27209.81","46219.08","82652.82","191405.00","579245.80"
"IMF.FAD:GDD(2.0.0)","KHM.B1GQ_V_XDC.A","OBS_VALUE","Cambodia","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","43.21","58.38","30.45","41.47","35.39","35.63","35.20","34.72","34.18","33.88","33.88","34.31","33.10","41.58","72.14","68.46","182.84","125.36","240.89","296.20","736.20","1642.00","3083.67","6654.03","7092.69","8406.80","9207.98","10199.15","11728.16","13410.74","14237.33","16267.59","17631.31","20080.79","23629.09","28918.82","34264.32","41080.52","49356.66","51753.68","57788.15","65068.40","71894.42","79768.29","88992.41","98334.48","107784.91","118907.47","134279.54","148984.70","142502.83","150792.68","164059.09","177718.89","193714.48"
"IMF.FAD:GDD(2.0.0)","CAN.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Canada","Debt instruments, Central government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.22","56.09","59.25","62.69","63.29","64.38","64.69","61.65","58.89","53.07","46.33","46.15","43.06","40.60","36.68","36.24","33.79","29.90","36.25","43.67","44.07","44.95","45.28","42.59","40.57","43.17","42.88","41.28","39.65","39.09","60.60","55.88","48.66","50.97","52.00"
"IMF.FAD:GDD(2.0.0)","COL.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Colombia","Debt instruments, Central government, Percent of GDP","Annual","Units","5.64","5.08","5.07","4.70","4.84","4.03","4.43","4.89","5.87","5.09","4.87","6.27","11.86","12.03","11.36","12.45","13.88","12.61","13.42","13.95","14.44","14.68","15.13","14.07","13.67","12.40","10.93","8.42","6.75","7.24","7.33","7.75","8.18","9.60","13.25","16.51","19.47","18.57","17.96","17.09","16.62","14.83","16.45","14.32","12.35","8.80","9.26","11.74","13.68","20.31","26.45","31.05","37.11","36.63","34.97","32.71","31.03","27.22","26.13","28.88","29.52","29.09","27.33","29.57","32.88","37.30","37.38","38.29","41.36","40.68","52.38","50.95","48.49","43.89",""
"IMF.FAD:GDD(2.0.0)","COD.B1GQ_V_XDC.A","OBS_VALUE","Congo, Democratic Republic of the","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.31","1.76","12.84","34.58","44.29","229.77","1317.08","2231.45","3025.87","3623.25","4113.63","5975.85","7250.85","9587.24","12832.33","15208.34","20261.58","24267.56","27619.66","32084.75","35485.19","37185.00","38997.91","57845.59","77940.34","83859.42","91858.65","110109.52","127090.76","157410.67","200438.53"
"IMF.FAD:GDD(2.0.0)","BRN.B1GQ_V_XDC.A","OBS_VALUE","Brunei Darussalam","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","0.54","0.63","0.66","0.76","0.77","0.85","0.94","1.19","1.65","4.06","4.30","5.46","6.56","6.85","9.46","16.38","14.32","14.17","12.61","12.53","12.03","8.11","9.23","8.41","9.07","10.10","10.28","10.19","10.22","10.38","11.48","11.50","11.84","10.14","11.09","11.46","11.12","11.59","12.66","14.74","17.58","20.20","20.45","22.60","17.30","18.69","23.30","23.80","22.64","21.66","17.78","15.75","16.75","18.30","18.37","16.56","18.82","23.00","20.27","20.66"
"IMF.FAD:GDD(2.0.0)","BGR.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Bulgaria","Debt instruments, Central government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.90","6.70","10.30","14.90","22.00","27.00","29.40","39.60","48.00","57.10","115.20","145.96","199.91","118.96","72.03","113.84","88.37","65.14","70.34","71.50","65.30","51.48","43.84","36.09","27.09","21.73","17.07","13.84","14.96","17.02","16.93","18.51","19.20","29.15","27.59","30.98","26.90","23.99","21.93","","23.30","22.03","22.34","23.55"
"IMF.FAD:GDD(2.0.0)","BDI.B1GQ_V_XDC.A","OBS_VALUE","Burundi","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","","","","","","","","","","","9.08","9.41","9.89","10.79","11.95","13.24","14.67","14.65","15.85","17.88","19.56","23.86","22.11","25.10","28.82","33.71","38.84","46.63","48.21","61.82","85.55","89.02","94.03","102.82","120.37","141.25","140.74","143.49","152.80","179.42","193.66","211.85","225.44","227.74","233.55","249.69","262.89","342.54","399.88","487.88","627.26","727.96","768.15","849.38","1007.49","1208.24","1309.90","1467.23","1911.14","2184.18","2501.05","2819.53","3365.81","3812.50","4185.00","4879.79","4897.10","5485.07","5414.49","5553.57","5916.43","6622.37","7978.22","10902.92","13673.17"
"IMF.FAD:GDD(2.0.0)","BDI.FL_S1311MIXED_POGDP_PT.A","OBS_VALUE","Burundi","Debt instruments, Central government, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","4.68","6.34","7.25","8.98","10.39","9.51","8.47","6.93","7.55","7.83","7.28","8.86","10.29","12.41","17.34","22.19","19.21","22.69","27.19","37.01","44.29","47.69","54.81","74.87","81.84","83.45","84.04","84.35","93.46","111.97","119.63","117.12","139.40","122.80","138.87","140.65","136.43","127.39","159.09","171.97","172.74","136.98","130.25","129.61","102.52","25.69","46.91","42.71","41.43","37.86","37.97","39.93","46.12","46.90","52.97","60.05","65.90","66.47","68.28","47.22","43.18"
"IMF.FAD:GDD(2.0.0)","BIH.B1GQ_V_XDC.A","OBS_VALUE","Bosnia and Herzegovina","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","0.00","0.02","1.48","2.69","3.47","5.52","7.89","9.22","10.57","11.82","12.68","13.98","14.73","16.00","17.65","20.06","22.55","25.52","24.80","25.36","26.23","26.22","26.78","27.36","28.93","30.27","31.80","33.94","35.78","34.73","39.15","45.62","49.92","52.05"
